iter	RMSE
0	72974.02912
1	67244.49721
2	62347.23063
3	57839.51856
4	54224.45889
5	50641.19162
6	47505.50975
7	44597.09008
8	42188.77824
9	39994.48194
10	37902.9678
11	36145.46615
12	34471.73223
13	33149.11586
14	31885.98032
15	30600.64118
16	29424.81371
17	28531.33204
18	27658.03978
19	26903.02784
20	26083.91721
21	25414.05014
22	24808.69857
23	24292.79286
24	23819.66661
25	23330.2509
26	22936.97514
27	22550.72702
28	22112.7254
29	21723.02289
30	21393.24446
31	21010.94568
32	20750.94675
33	20459.32312
34	20182.81084
35	19965.57063
36	19719.1092
37	19512.82761
38	19324.02753
39	19140.71431
40	18973.94597
41	18751.12626
42	18598.17859
43	18490.66387
44	18390.40665
45	18287.40085
46	18170.00017
47	17893.79532
48	17761.5484
49	17679.67381
50	17601.15802
51	17504.61505
52	17443.39351
53	17378.05079
54	17315.21121
55	17257.77241
56	17199.39312
57	17152.23717
58	17052.29084
59	16981.99122
60	16938.50196
61	16880.0456
62	16794.91221
63	16739.55718
64	16631.78469
65	16517.36305
66	16451.19611
67	16416.70281
68	16320.7598
69	16231.00397
70	16200.47988
71	16145.07641
72	15979.06181
