iter	Passed	Remaining
0	62	46426
1	253	94507
2	461	114373
3	748	138987
4	863	128209
5	1054	130222
6	1243	131494
7	1416	130837
8	1618	132698
9	1814	133699
10	2015	134858
11	2209	135312
12	2406	135868
13	2597	136019
14	2775	135443
15	2976	135991
16	3171	136175
17	3241	131269
18	3430	131455
19	3620	131612
20	3815	131911
21	4010	132159
22	4206	132425
23	4395	132423
24	4498	129903
25	4688	130018
26	4879	130115
27	5078	130404
28	5272	130538
29	5476	130883
30	5643	130341
31	5831	130293
32	6023	130320
33	6224	130531
34	6422	130647
35	6609	130531
36	6798	130452
37	6988	130394
38	7185	130444
39	7382	130480
40	7571	130373
41	7769	130408
42	7964	130392
43	8152	130249
44	8338	130087
45	8532	130030
46	8721	129898
47	8913	129802
48	9112	129803
49	9305	129721
50	9491	129527
51	9678	129362
52	9864	129173
53	10054	129036
54	10248	128945
55	10436	128775
56	10623	128601
57	10809	128414
58	10997	128243
59	11162	127815
60	11349	127632
61	11540	127498
62	11727	127322
63	11892	126918
64	12089	126842
65	12285	126761
66	12481	126677
67	12668	126494
68	12865	126418
69	13061	126324
70	13249	126147
71	13455	126145
72	13659	126116
